,studytime,failures,Medu,higher,absences,age,health,Walc,goout,Fedu
0,2,0,4,1,4,18,3,1,4,4
1,2,0,1,1,2,17,3,1,3,1
2,2,0,1,1,6,15,3,3,2,1
3,3,0,4,1,0,15,5,1,2,2
4,2,0,3,1,0,16,5,2,2,3
5,2,0,4,1,6,16,5,2,2,3
6,2,0,2,1,0,16,3,1,4,2
7,2,0,4,1,2,17,1,1,4,4
8,2,0,3,1,0,15,1,1,2,2
9,2,0,3,1,0,15,5,1,1,4
10,2,0,4,1,2,15,2,2,3,4
11,3,0,2,1,0,15,4,1,2,1
12,1,0,4,1,0,15,5,3,3,4
13,2,0,4,1,0,15,3,2,3,3
14,3,0,2,1,0,15,3,1,2,2
15,1,0,4,1,6,16,2,2,4,4
16,3,0,4,1,10,16,2,2,3,4
17,2,0,3,1,2,16,4,1,2,3
18,1,3,3,1,2,17,5,4,5,2
19,1,0,4,1,6,16,5,3,3,3
20,2,0,4,1,0,15,1,1,1,3
21,1,0,4,1,0,15,5,1,2,4
22,2,0,4,1,0,16,5,3,1,2
23,2,0,2,1,2,16,5,4,4,2
24,3,0,2,1,2,15,5,1,2,4
25,1,0,2,1,6,16,5,3,2,2
26,1,0,2,1,8,15,5,2,2,2
27,1,0,4,1,0,15,1,4,4,2
28,2,0,3,1,2,16,5,1,3,4
29,2,0,4,1,4,16,5,5,5,4
30,2,0,4,1,0,15,5,4,2,4
31,2,0,4,1,2,15,5,1,1,4
32,2,0,4,1,0,15,5,1,2,3
33,2,0,3,1,0,15,2,1,2,3
34,1,0,3,1,4,16,5,1,3,2
35,1,0,2,1,4,15,5,1,1,3
36,3,0,4,1,0,15,4,1,3,3
37,3,0,4,1,4,16,5,1,3,4
38,3,0,3,1,2,15,5,1,2,4
39,1,0,2,1,8,15,2,1,1,2
40,2,0,2,1,16,16,3,2,3,2
41,1,0,4,1,8,15,5,4,3,4
42,2,0,4,1,0,15,5,1,3,4
43,1,0,2,1,0,15,1,1,1,2
44,2,1,2,1,14,16,5,2,3,2
45,2,0,4,1,4,15,5,1,2,3
46,2,0,3,1,6,16,3,4,5,3
47,4,0,4,1,2,16,2,1,2,3
48,2,0,4,1,4,15,5,2,3,2
49,2,0,4,1,2,15,3,1,4,4
50,2,0,2,1,0,16,4,3,3,2
51,2,0,4,1,0,15,5,1,3,2
52,1,0,4,1,4,15,5,4,5,2
53,1,0,4,1,0,15,5,3,4,4
54,1,0,3,1,0,15,1,4,4,3
55,2,0,2,1,2,16,2,1,4,1
56,2,0,4,1,0,15,1,1,2,3
57,2,0,4,1,8,15,5,1,2,4
58,2,0,1,1,0,15,5,1,2,2
59,2,0,4,1,2,16,5,1,3,2
60,2,0,4,1,0,16,4,3,4,4
61,1,0,1,1,0,16,5,5,5,1
62,2,0,1,1,0,16,1,1,3,2
63,3,0,4,1,0,16,4,4,4,3
64,2,0,4,1,0,15,2,4,4,3
65,2,0,4,1,2,16,1,2,3,3
66,4,0,4,1,0,15,3,5,3,4
